strain	virus	date	country	division	location	host_type	length	lineage	authors	source
MN201004.1	Influenza A virus	2018-03-05	Australia			Sus scrofa	1701	6B.1A	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201012.1	Influenza A virus	2018-03-07	Australia			Sus scrofa	1745	6B.1A	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201020.1	Influenza A virus	2018-09-11	Australia			Sus scrofa	1701	6B.1A	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201028.1	Influenza A virus	2018-09-11	Australia			Sus scrofa	1701	6B.1A	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201076.1	Influenza A virus	2018-07-10	Australia			Sus scrofa	1701	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201084.1	Influenza A virus	2018-10-17	Australia			Sus scrofa	1701	6	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201092.1	Influenza A virus	2018-10-17	Australia			Sus scrofa	1701	6	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201148.1	Influenza A virus	2018-09-25	Australia			Sus scrofa	1701	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
OQ594035.1	Influenza A virus	2019-12-01	Australia			Homo sapiens	1701	6B.1A.5a.1	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594036.1	Influenza A virus	2019-12-11	Australia			Homo sapiens	1701	6B.1A.5a.1	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594044.1	Influenza A virus	2019-12-07	Australia			Homo sapiens	1701	6B.1A.5a.1	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594026.1	Influenza A virus	2019-08-29	Australia			Homo sapiens	1701	6B.1A.2	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
MW183260.1	Influenza A virus	2019-04-01	Australia			Homo sapiens	1701	6B.1A.5a	Karawita,A.C.	ncbi
OQ594039.1	Influenza A virus	2019-10-14	Australia			Homo sapiens	1701	6B.1A.5b	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594037.1	Influenza A virus	2019-12-11	Australia			Homo sapiens	1701	6B.1A.5a.1	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594041.1	Influenza A virus	2019-11-17	Australia			Homo sapiens	1701	6B.1A.5a.1	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594028.1	Influenza A virus	2019-09-03	Australia			Homo sapiens	1701	6B.1A.5b	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
MW183259.1	Influenza A virus	2019-04-01	Australia			Homo sapiens	1701	6B.1A.5a	Karawita,A.C.	ncbi
OQ594032.1	Influenza A virus	2019-09-13	Australia			Homo sapiens	1701	6B.1A.5b	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594029.1	Influenza A virus	2019-09-11	Australia			Homo sapiens	1701	6B.1A.5b	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594040.1	Influenza A virus	2019-11-16	Australia			Homo sapiens	1701	6B.1A.5a.1	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594043.1	Influenza A virus	2019-11-25	Australia			Homo sapiens	1701	6B.1A.5a.1	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
OQ594030.1	Influenza A virus	2019-09-09	Australia			Homo sapiens	1701	6B.1A.5b	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi
PX230237.1	Influenza A virus	2021-10-16	Australia			Homo sapiens	1701	6B.1A.5a.2a	NCIRD Centers for Disease Control and Prevention Atlanta GA,I.R.R.	ncbi
OR567267.1	Influenza A virus	2021-10-16	Australia			Homo sapiens	1701	6B.1A.5a.2a	NCIRD Centers for Disease Control and Prevention Atlanta GA,I.R.R.	ncbi
OR568550.1	Influenza A virus	2021-10-16	Australia			Homo sapiens	1701	6B.1A.5a.2a	NCIRD Centers for Disease Control and Prevention Atlanta GA,I.R.R.	ncbi
OQ718987.1	Influenza A virus	2021-10-16	Australia			Homo sapiens	1745	6B.1A.5a.2a	Aziz,A., Deng,Y., Barr,I.	ncbi
OQ718989.1	Influenza A virus	2022-10-02	Australia			Homo sapiens	1701	6B.1A.5a.2a.1	Aziz,A., Deng,Y., Barr,I.	ncbi
MK898986.1	Influenza A virus	2018-11-03	Bahrain			Homo sapiens	1752	6B.1A.2	Falgout,C.R., Koster,B.L., Balansay-Ames,M.S., Graf,P.C., Myers,C.A.	ncbi
MK502189.1	Influenza A virus	2018-02-22	Belgium			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502190.1	Influenza A virus	2018-03-05	Belgium			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502281.1	Influenza A virus	2018-03-02	Belgium			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK400716.1	Influenza A virus	2018-03-07	Belgium			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MT638100.1	Influenza A virus	2019-02-28	Belgium			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MT638460.1	Influenza A virus	2019-02-28	Belgium			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK927164.1	Influenza A virus	2019-02-04	Belgium			Homo sapiens	1701	6B.1A.7	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK912269.1	Influenza A virus	2019-02-05	Belgium			Homo sapiens	1701	6B.1A.2	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK912470.1	Influenza A virus	2019-02-05	Belgium			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK839275.1	Influenza A virus	2019-01-23	Belgium			Homo sapiens	1701	6B.1A.7	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
OP458618.1	Influenza A virus	2020-01-10	Belgium			Sus scrofa	1683	1	Parys,A., Vereecke,N., Vandoorn,E., Theuns,S., Van Reeth,K.	ncbi
OP458682.1	Influenza A virus	2020-08-26	Belgium			Sus scrofa	1683	1	Parys,A., Vereecke,N., Vandoorn,E., Theuns,S., Van Reeth,K.	ncbi
OP678086.1	Influenza A virus	2015-02-03	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678087.1	Influenza A virus	2015-02-11	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678111.1	Influenza A virus	2015-02-11	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678135.1	Influenza A virus	2015-04-30	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678103.1	Influenza A virus	2015-01-30	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678114.1	Influenza A virus	2015-03-13	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678157.1	Influenza A virus	2015-03-16	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678105.1	Influenza A virus	2015-05-07	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678148.1	Influenza A virus	2015-02-04	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678150.1	Influenza A virus	2015-04-29	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678158.1	Influenza A virus	2015-06-01	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678104.1	Influenza A virus	2015-02-13	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678115.1	Influenza A virus	2015-04-02	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678159.1	Influenza A virus	2015-07-01	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678110.1	Influenza A virus	2015-02-01	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678116.1	Influenza A virus	2016-04-04	Bhutan			Homo sapiens	1701	6B.1	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678141.1	Influenza A virus	2016-04-11	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678142.1	Influenza A virus	2016-04-26	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678143.1	Influenza A virus	2016-05-04	Bhutan			Homo sapiens	1701	6B	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
OP678151.1	Influenza A virus	2016-03-09	Bhutan			Homo sapiens	1701	6B.1	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi
PZ016568.1	Influenza A virus	2024-06-27	Botswana			Homo sapiens	1701	6B.1A.5a.2a	Moyo,S., Choga,W.T., Seru,K., Zuze,B.J.L., Ndlovu,N., Phafane,B., Chand,M., Shapirp,R., Makhema,J.M., Lockman,S., Gaseitsiwe,S.	ncbi
PX834795.1	Influenza A virus	2023-01-17	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834868.1	Influenza A virus	2023-01-27	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834886.1	Influenza A virus	2023-01-18	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834932.1	Influenza A virus	2023-01-19	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834970.1	Influenza A virus	2023-02-01	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834995.1	Influenza A virus	2023-01-12	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834778.1	Influenza A virus	2024-01-22	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834923.1	Influenza A virus	2024-01-18	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834949.1	Influenza A virus	2024-03-17	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834789.1	Influenza A virus	2024-02-02	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834964.1	Influenza A virus	2024-01-29	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834853.1	Influenza A virus	2024-01-25	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834892.1	Influenza A virus	2024-03-15	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834813.1	Influenza A virus	2024-02-21	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834805.1	Influenza A virus	2024-01-12	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX835005.1	Influenza A virus	2024-02-02	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834846.1	Influenza A virus	2024-01-29	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834878.1	Influenza A virus	2024-02-06	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834940.1	Influenza A virus	2024-03-23	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834956.1	Influenza A virus	2024-02-12	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX834836.1	Influenza A virus	2024-02-19	Bulgaria			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
OQ459935.1	Influenza A virus	2020-11-14	Cambodia			Sus scrofa	1701	1	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ460109.1	Influenza A virus	2020-06-09	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ460117.1	Influenza A virus	2020-06-21	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ460133.1	Influenza A virus	2020-08-02	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ459930.1	Influenza A virus	2020-08-02	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ460173.1	Influenza A virus	2020-09-01	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ459949.1	Influenza A virus	2020-08-07	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ460093.1	Influenza A virus	2020-06-02	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ459940.1	Influenza A virus	2020-06-21	Cambodia			Sus scrofa	1696	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ459933.1	Influenza A virus	2020-10-11	Cambodia			Sus scrofa	1697	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ460221.1	Influenza A virus	2020-10-03	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ459946.1	Influenza A virus	2020-12-27	Cambodia			Sus scrofa	1700	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ460085.1	Influenza A virus	2020-03-18	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ460125.1	Influenza A virus	2020-08-07	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ459941.1	Influenza A virus	2020-07-30	Cambodia			Sus scrofa	1696	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
OQ459938.1	Influenza A virus	2021-02-09	Cambodia			Sus scrofa	1701	6B.1A	Zeller,M.A., Ma,J., Wong,F.Y., Tum,S., Hidano,A., Holt,H., Chhay,T., San,S., Koeut,D., Seng,B., Chao,S., GK Ng,G., Yan,Z., Chou,M., Rudge,J.W., Smith,G.J.D., Su,Y.C.F.	ncbi
